城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.5,96.4,99.0,91.5
唐山,99.0,92.6,98.9,89.8
天津,99.4,98.6,99.4,93.3
秦皇岛,99.2,93.3,98.7,89.9
石家庄,99.8,97.6,98.6,93.8
包头,99.4,93.7,98.5,90.0
太原,99.8,98.9,99.5,95.1
丹东,99.4,94.6,98.8,90.5
呼和浩特,99.6,95.6,99.1,90.6
锦州,99.3,95.5,99.4,92.9
沈阳,99.3,95.2,99.2,92.1
吉林,98.8,96.0,100.1,93.6
大连,99.7,93.9,99.3,91.1
牡丹江,99.4,92.7,99.2,91.4
长春,99.3,96.7,99.2,93.0
无锡,99.3,96.4,99.0,91.6
哈尔滨,99.6,94.0,99.5,92.0
徐州,99.6,90.9,99.2,87.9
上海,100.6,104.9,99.4,94.2
扬州,99.2,93.2,98.4,90.8
南京,100.3,90.6,99.4,91.0
温州,98.2,90.2,98.3,88.4
杭州,99.9,98.3,99.3,93.8
金华,98.3,90.0,98.1,88.4
宁波,99.3,91.6,98.4,89.1
蚌埠,99.2,93.8,99.0,91.5
合肥,99.4,95.3,98.9,90.9
安庆,99.1,92.4,98.9,90.5
福州,98.1,91.8,98.0,89.1
泉州,98.1,93.9,98.4,89.6
厦门,99.0,89.3,97.8,85.4
九江,99.9,91.4,99.3,90.1
南昌,99.3,93.3,99.2,89.4
赣州,98.7,93.0,99.7,93.2
济南,99.2,95.5,98.1,90.0
烟台,99.6,93.9,99.2,89.3
青岛,99.4,93.4,99.0,91.1
济宁,99.4,93.3,99.3,91.1
郑州,99.6,93.1,99.3,91.6
洛阳,99.2,94.4,99.5,92.1
武汉,99.2,91.6,99.3,86.7
平顶山,99.9,97.5,99.3,92.8
长沙,98.9,95.6,99.1,91.2
宜昌,99.2,95.0,99.3,93.0
广州,99.5,89.9,99.3,87.5
襄阳,99.4,93.5,98.7,89.3
深圳,99.2,91.8,98.7,89.2
岳阳,98.9,94.1,99.0,94.4
南宁,99.2,92.4,99.1,90.4
常德,99.5,92.0,99.8,90.8
海口,99.4,96.3,98.4,89.9
韶关,99.0,92.7,99.1,92.5
重庆,99.6,94.6,98.8,91.0
湛江,99.6,90.3,99.2,91.3
成都,98.8,96.8,99.5,91.3
惠州,98.7,92.2,97.8,89.5
贵阳,99.2,95.8,99.5,93.3
桂林,99.5,95.8,99.9,93.5
昆明,98.0,93.0,98.8,93.8
北海,98.7,95.2,98.8,93.6
西安,100.0,102.9,98.9,93.4
三亚,99.5,97.2,99.6,95.3
兰州,98.3,91.2,98.4,89.9
泸州,99.3,93.1,99.5,93.6
西宁,99.5,93.6,99.4,92.5
南充,99.5,96.5,99.1,91.9
银川,99.4,94.0,99.6,93.8
遵义,99.7,96.6,99.4,95.1
乌鲁木齐,99.8,96.1,99.9,95.3
大理,98.3,94.9,99.0,91.9
