城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.3,95.1,101.0,91.6
唐山,99.2,92.1,98.9,88.4
天津,99.5,97.2,99.7,92.8
秦皇岛,99.6,92.8,98.8,88.5
石家庄,99.5,97.0,99.4,92.5
包头,99.3,93.3,98.7,88.8
太原,100.2,100.2,99.3,95.2
丹东,99.6,94.2,98.5,89.3
呼和浩特,99.2,94.8,98.8,89.5
锦州,99.4,94.3,99.0,92.1
沈阳,100.1,94.9,100.0,92.0
吉林,99.5,95.3,99.3,93.5
大连,99.4,93.5,99.0,90.0
牡丹江,99.2,92.9,99.6,91.4
长春,99.8,96.1,99.5,93.3
无锡,99.5,95.9,100.0,90.8
哈尔滨,99.4,93.3,99.3,92.2
徐州,98.9,92.0,99.5,88.8
上海,100.3,105.0,100.2,93.3
扬州,98.6,93.3,99.7,90.9
南京,99.4,91.4,99.6,91.2
温州,99.4,89.1,99.5,87.7
杭州,99.6,97.0,100.8,93.1
金华,99.5,88.5,99.4,87.1
宁波,98.9,90.6,99.8,90.0
蚌埠,99.6,93.1,99.8,91.8
合肥,99.6,94.0,99.3,90.0
安庆,99.8,92.7,99.7,90.3
福州,99.3,90.9,100.0,89.4
泉州,99.6,92.8,98.8,88.5
厦门,100.2,89.1,100.1,85.5
九江,99.7,92.4,99.4,89.2
南昌,99.6,92.5,99.7,88.3
赣州,99.9,93.2,99.7,93.1
济南,99.3,93.5,99.2,90.0
烟台,99.8,93.5,99.7,90.1
青岛,99.4,92.8,99.5,90.4
济宁,99.6,93.5,99.9,92.3
郑州,99.1,93.0,99.2,91.1
洛阳,99.6,93.3,99.4,91.0
武汉,99.0,89.9,100.1,87.1
平顶山,100.2,97.5,99.7,92.9
长沙,99.1,93.6,99.5,90.5
宜昌,99.5,94.8,98.7,92.3
广州,99.3,89.6,99.6,87.5
襄阳,99.1,92.8,99.0,88.8
深圳,100.1,91.9,100.7,89.1
岳阳,99.5,93.0,99.2,93.8
南宁,99.1,91.4,99.0,90.0
常德,99.0,90.8,99.5,89.4
海口,99.2,94.5,99.6,90.1
韶关,99.7,93.8,99.6,93.0
重庆,99.8,93.7,100.5,92.0
湛江,99.2,90.4,99.6,91.1
成都,99.6,95.3,100.4,91.3
惠州,99.2,92.7,99.4,89.2
贵阳,99.4,94.3,99.5,93.2
桂林,100.2,96.3,99.6,93.8
昆明,99.0,92.5,99.0,93.6
北海,99.3,94.7,99.8,94.0
西安,99.4,100.7,99.1,92.3
三亚,99.6,95.8,99.2,92.9
兰州,99.2,91.6,98.6,89.7
泸州,99.2,91.5,99.0,92.3
西宁,99.3,93.4,99.6,92.4
南充,99.7,96.3,99.8,92.0
银川,99.9,94.7,99.8,94.2
遵义,99.4,96.1,99.5,94.7
乌鲁木齐,99.9,96.3,99.5,94.4
大理,99.5,94.5,99.3,91.3
